,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
46,Kings & Queens,Ava Max,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101,200960,4,1,0
47,Tusa,KAROL G,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,111,237893,4,1,0
48,Say So,Doja Cat,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100,237520,4,1,0
49,In Your Eyes,The Weeknd,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,94,172762,4,1,0
50,Be Kind ,Marshmello,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,117,190960,4,1,0
51,Señorita,Shawn Mendes,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130,243837,4,1,0
52,goosebumps,Travis Scott,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127,159382,4,1,0
53,Falling,Trevor Daniel,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99,207133,4,1,0
54,Adore You,Harry Styles,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84,242001,4,1,0
55,Savage Remix ,Megan Thee Stallion,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91,189486,4,1,0
56,Memories,Maroon 5,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,124,179867,4,1,0
57,Play Date,Melanie Martinez,0.904,0.252,5,-17.54,0,0.11,0.294,0.0,0.104,0.227,118,167184,4,1,0
58,Rags2Riches ,Rod Wave,0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174,246000,4,1,0
59,Hasta Que Dios Diga,Anuel AA,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,84,239836,4,1,0
60,Lucid Dreams,Juice WRLD,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76,175721,4,1,0
61,HIGHEST IN THE ROOM,Travis Scott,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,90,158040,4,1,0
