,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
46,Diamonds,Rihanna,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100,212893,4,0,0
47,La La La ,Shakira,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124,247427,4,0,0
48,Wake Me Up ,Avicii,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125,255093,4,0,0
49,Hey Brother,Avicii,0.569,0.785,1,-4.057,0,0.0457,0.0505,1.12e-06,0.086,0.303,128,148387,4,0,0
50,Addicted To You,Avicii,0.754,0.715,5,-4.434,0,0.0525,0.0822,0.0,0.0891,0.405,100,252613,4,0,0
51,It’s My Birthday,will.i.am,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130,283400,4,0,0
52,Scream & Shout,will.i.am,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130,230907,4,0,0
53,On The Floor ,Jennifer Lopez,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,130,204160,4,0,0
54,Timber ,Pitbull,0.66,0.685,2,-6.658,1,0.0477,0.0165,0.0,0.442,0.32,120,203160,4,0,0
55,Wild Wild Love ,Pitbull,0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125,222520,4,0,0
56,We Are One ,Pitbull,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105,250373,4,0,0
57,Yeah! ,Usher,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,130,269493,4,0,0
58,OMG,Usher,0.703,0.73,5,-3.595,0,0.106,0.189,1.48e-05,0.211,0.589,128,224200,4,0,0
59,Braveheart,Neon Jungle,0.869,0.794,0,-6.191,1,0.0984,0.0303,3.81e-06,0.07,0.656,128,367413,4,0,0
60,Don’t Stop The Party,Black Eyed Peas,0.684,0.659,4,-7.698,0,0.147,0.0284,0.00381,0.0703,0.28,130,329440,4,0,0
61,Do It Like This,Black Eyed Peas,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,95,199938,4,0,0
62,Fancy,Iggy Azalea,0.621,0.947,0,-4.854,1,0.144,0.052,0.0,0.0812,0.811,100,192053,4,0,0
63,On Top Of The World,Imagine Dragons,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100,194240,4,0,0
64,Best Day Of My Life,American Authors,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127,214148,4,0,0
65,Pompeii,Bastille,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136,186813,4,0,0
66,Radioactive,Imagine Dragons,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,126,157153,4,0,0
67,I Love It,Icona Pop,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116,248413,4,0,0
68,Get Lucky ,Daft Punk,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,130,262173,4,0,0
69,Party Rock Anthem,LMFAO,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,128,243533,4,0,0
70,S&M,Rihanna,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,120,263827,4,0,0
71,Blurred Lines,Robin Thicke,0.611,0.697,2,-8.618,1,0.133,0.0193,0.0,0.332,0.476,123,320357,4,0,0
72,One More Time,Daft Punk,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160,232720,4,0,0
73,Happy,Pharrell Williams,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,85,190185,4,0,0
74,Royals,Lorde,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124,240400,4,0,0
75,Don't You Worry Child ,Swedish House Mafia,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,77,484147,4,0,0
76,Sweater Weather,The Neighbourhood,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116,178560,4,0,0
77,Mirrors,Justin Timberlake,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127,232947,4,0,0
78,Treasure,Bruno Mars,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,104,224653,4,0,0
79,Wild Ones ,Flo Rida,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128,248133,4,0,0
80,Whistle,Flo Rida,0.637,0.955,7,-1.691,0,0.112,0.106,0.0,0.422,0.613,128,169557,4,0,0
81,Good Feeling,Flo Rida,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,146,190186,4,0,0
82,How I Feel,Flo Rida,0.698,0.813,1,-5.171,1,0.0395,0.00681,3.18e-05,0.103,0.355,150,236773,4,0,0
83,GDFR ,Flo Rida,0.668,0.718,1,-4.736,0,0.0605,0.0165,0.0,0.104,0.345,92,192200,4,0,0
84,Hangover,PSY,0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,128,226987,4,0,0
85,Don't Wanna Go Home,Jason Derulo,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,130,204160,4,0,0
86,It Girl,Jason Derulo,0.778,0.776,9,-5.359,1,0.0362,0.0338,0.0216,0.0772,0.361,127,247615,4,0,0
87,The Other Side,Jason Derulo,0.738,0.804,11,-3.851,1,0.0621,0.332,0.0,0.279,0.949,175,190213,4,0,0
88,Timber ,Pitbull,0.742,0.642,1,-5.331,0,0.0475,0.0562,2.4e-06,0.34,0.527,128,246227,4,0,0
89,Stereo Love ,Edward Maya,0.61,0.841,7,-4.579,0,0.0692,0.056,9.85e-06,0.118,0.431,127,198187,4,0,0
90,The Lazy Song,Bruno Mars,0.636,0.732,7,-6.209,0,0.0962,0.242,0.0,0.498,0.679,128,198800,4,0,0
91,That's my name,Akcent,0.739,0.786,9,-4.98,0,0.112,0.175,0.0,0.708,0.528,129,238613,4,0,0
92,Glad You Came,The Wanted,0.553,0.937,11,-4.056,1,0.12,0.00559,0.0,0.363,0.548,104,205400,4,0,0
93,Chasing The Sun,The Wanted,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110,250189,4,0,0
94,I Found You,The Wanted,0.459,0.899,2,-2.978,1,0.21,0.0038,0.0,0.126,0.437,176,272417,4,0,0
95,We Own The Night,The Wanted,0.743,0.948,0,-4.445,0,0.0893,0.122,0.0,0.112,0.614,130,312987,4,0,0
96,The Monster,Eminem,0.832,0.87,8,-4.2,0,0.167,0.267,0.0,0.412,0.566,138,240747,4,0,0
97,Survival,Eminem,0.459,0.899,2,-2.978,1,0.21,0.0038,0.0,0.126,0.437,176,272417,4,0,0
98,Beautiful,Akon,0.743,0.948,0,-4.445,0,0.0893,0.122,0.0,0.112,0.614,130,312987,4,0,0
99,Right Now ,Akon,0.832,0.87,8,-4.2,0,0.167,0.267,0.0,0.412,0.566,138,240747,4,0,0
100,Angel,Akon,0.565,0.867,2,-2.503,1,0.0318,0.0571,0.0,0.177,0.325,126,215227,4,0,0
