,track,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,top100,top10,1,2,3,4,5,6,7,8,9,10,11
33,Before You Go,Lewis Capaldi,0.747,0.622,-5.825,1,0.0838,0.17600000000000002,0.0,0.151,0.57,160,181661,1,0,0,0,0,0,0,0,0,0,0,0,1
34,Conversations,Juice WRLD,0.823,0.586,-6.606,0,0.2,0.114,0.0,0.193,0.34700000000000003,126,190476,1,0,0,0,0,0,0,1,0,0,0,0,0
35,For The Night ,Pop Smoke,0.845,0.677,-4.798,0,0.136,0.26899999999999996,0.000917,0.10800000000000001,0.68,90,219048,1,0,0,0,0,0,0,0,0,0,0,0,1
36,La Curiosidad,Jay Wheeler,0.701,0.65,-6.313,1,0.10400000000000001,0.29100000000000004,0.0,0.11199999999999999,0.647,90,160212,1,0,0,0,0,0,0,1,0,0,0,0,0
37,Hate The Other Side ,Juice WRLD,0.8109999999999999,0.5529999999999999,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148,212869,1,0,0,0,0,0,0,0,0,0,1,0,0
38,Intentions ,Justin Bieber,0.8959999999999999,0.586,-6.687,0,0.0559,0.10400000000000001,0.0,0.79,0.642,117,196653,1,0,0,0,0,0,0,0,0,0,0,1,0
39,The Box,Roddy Ricch,0.706,0.625,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,143,242181,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Righteous,Juice WRLD,0.878,0.525,-6.832000000000001,1,0.0578,0.183,0.0,0.0714,0.6940000000000001,112,158571,1,0,0,0,0,0,1,0,0,0,0,0,0
41,Sunday Best,Surfaces,0.755,0.578,-8.932,0,0.145,0.316,0.0,0.25,0.581,94,176960,1,0,0,0,0,0,0,0,0,0,0,0,0
42,Go Crazy,Chris Brown,0.716,0.537,-7.648,0,0.0514,0.233,0.0,0.157,0.28,130,165978,1,0,0,0,0,0,0,0,0,0,0,0,0
43,THE SCOTTS,THE SCOTTS,0.7909999999999999,0.682,-7.327999999999999,1,0.158,0.175,0.0,0.0926,0.672,98,166851,1,0,0,0,0,0,1,0,0,0,0,0,0
44,Djadja ,Aya Nakamura,0.695,0.762,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120,215280,1,0,0,0,0,0,0,0,0,0,0,0,0
45,Circles,Post Malone,0.638,0.688,-4.056,0,0.0407,0.00775,0.0,0.126,0.434,130,162399,1,0,1,0,0,0,0,0,0,0,0,0,0
46,Kings & Queens,Ava Max,0.8029999999999999,0.715,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101,200960,1,0,0,1,0,0,0,0,0,0,0,0,0
47,Tusa,KAROL G,0.787,0.6729999999999999,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.7859999999999999,111,237893,1,0,0,0,0,0,0,0,0,0,0,0,1
48,Say So,Doja Cat,0.667,0.7190000000000001,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.7170000000000001,100,237520,1,0,0,0,0,0,0,0,1,0,0,0,0
49,In Your Eyes,The Weeknd,0.63,0.633,-7.087999999999999,1,0.0457,0.0077599999999999995,0.0,0.0541,0.452,94,172762,1,0,0,0,0,1,0,0,0,0,0,0,0
50,Be Kind ,Marshmello,0.759,0.54,-6.039,0,0.0287,0.037000000000000005,0.0,0.0945,0.75,117,190960,1,0,0,0,0,0,0,0,0,0,1,0,0
51,Señorita,Shawn Mendes,0.841,0.728,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130,243837,1,0,0,0,0,0,0,0,1,0,0,0,0
52,goosebumps,Travis Scott,0.784,0.43,-8.756,0,0.0364,0.12300000000000001,0.0,0.0887,0.23600000000000002,127,159382,1,0,0,0,0,0,0,0,0,0,0,1,0
53,Falling,Trevor Daniel,0.6759999999999999,0.7709999999999999,-3.675,1,0.0483,0.0237,7.000000000000001e-06,0.102,0.569,99,207133,1,0,0,0,0,0,0,0,0,1,0,0,0
54,Adore You,Harry Styles,0.8220000000000001,0.743,-4.772,0,0.28,0.016,0.0,0.127,0.636,84,242001,1,0,0,0,0,0,0,0,0,0,0,1,0
55,Savage Remix ,Megan Thee Stallion,0.764,0.32,-7.209,1,0.0546,0.8370000000000001,0.0,0.0822,0.575,91,189486,1,0,0,0,0,0,0,0,0,0,0,0,1
56,Memories,Maroon 5,0.68,0.7290000000000001,-5.077,1,0.0475,0.612,0.0,0.22399999999999998,0.446,124,179867,1,0,0,0,0,0,1,0,0,0,0,0,0
57,Play Date,Melanie Martinez,0.904,0.252,-17.54,0,0.11,0.294,0.0,0.10400000000000001,0.22699999999999998,118,167184,1,0,0,0,0,0,1,0,0,0,0,0,0
58,Rags2Riches ,Rod Wave,0.691,0.765,-4.727,1,0.111,0.46399999999999997,3.29e-06,0.203,0.855,174,246000,1,0,0,0,0,0,0,0,0,1,0,0,0
59,Hasta Que Dios Diga,Anuel AA,0.511,0.5660000000000001,-7.23,0,0.2,0.349,0.0,0.34,0.218,84,239836,1,0,0,0,0,0,0,1,0,0,0,0,0
60,Lucid Dreams,Juice WRLD,0.598,0.42700000000000005,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76,175721,1,0,0,0,0,0,0,0,1,0,0,0,0
61,HIGHEST IN THE ROOM,Travis Scott,0.76,0.479,-5.574,1,0.0466,0.556,0.0,0.0703,0.9129999999999999,90,158040,1,0,0,1,0,0,0,0,0,0,0,0,0
62,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.7340000000000001,0.8740000000000001,-3.158,1,0.0662,0.168,1.1400000000000001e-05,0.0489,0.905,123,166028,1,0,0,0,0,0,0,0,0,1,0,0,0
63,Head & Heart ,Joel Corry,0.701,0.425,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135,194088,1,0,0,0,0,0,0,0,1,0,0,0,0
64,bad guy,Billie Eilish,0.611,0.688,-5.688,1,0.341,0.0264,0.0,0.251,0.39299999999999996,178,132303,1,0,1,0,0,0,0,0,0,0,0,0,0
65,GOOBA,6ix9ine,0.848,0.768,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,119,176767,1,0,0,0,0,0,0,1,0,0,0,0,0
66,Secrets,Regard,0.885,0.685,-6.428999999999999,0,0.0627,0.33,0.0,0.14800000000000002,0.937,100,144000,1,0,0,0,0,0,0,0,0,0,0,0,1
67,Stunnin' ,Curtis Waters,0.5479999999999999,0.805,-5.732,1,0.35100000000000003,0.212,0.000389,0.408,0.648,142,216387,1,0,0,0,0,0,0,0,1,0,0,0,0
68,Dior,Pop Smoke,0.8240000000000001,0.631,-2.7910000000000004,1,0.0809,0.237,0.00011599999999999999,0.0531,0.6779999999999999,172,197721,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Elegí ,Rauw Alejandro,0.6759999999999999,0.609,-5.831,0,0.48100000000000004,0.0706,0.0,0.152,0.508,142,237735,1,0,0,1,0,0,0,0,0,0,0,0,0
70,Life Is Good ,Future,0.58,0.586,-6.882999999999999,1,0.0357,0.344,0.0,0.0755,0.507,148,199549,1,0,1,0,0,0,0,0,0,0,0,0,0
71,Lose Somebody,Kygo,0.8240000000000001,0.8540000000000001,-5.312,1,0.177,0.016,4.95e-05,0.11699999999999999,0.8959999999999999,95,210329,1,0,0,0,0,0,0,0,0,1,0,0,0
72,Banana ,Conkarah,0.621,0.601,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,117,163636,1,0,0,0,0,0,0,1,0,0,0,0,0
73,ROXANNE,Arizona Zervas,0.607,0.8290000000000001,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96,295177,1,0,0,1,0,0,0,0,0,0,0,0,0
74,Safaera,Bad Bunny,0.88,0.7509999999999999,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,118,157606,1,0,0,0,0,0,0,0,1,0,0,0,0
75,Ride It,Regard,0.8340000000000001,0.73,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155,312820,1,0,0,0,0,0,0,0,0,1,0,0,0
76,SICKO MODE,Travis Scott,0.86,0.758,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.45299999999999996,97,172127,1,0,0,0,0,0,0,0,0,0,0,0,1
77,Yo Perreo Sola,Bad Bunny,0.611,0.851,-2.9819999999999998,1,0.0598,0.22899999999999998,0.0,0.23199999999999998,0.823,178,211613,1,0,0,0,0,0,0,0,0,0,1,0,0
78,WHATS POPPIN,Jack Harlow,0.7929999999999999,0.737,-4.731,0,0.0785,0.0765,0.0,0.0747,0.6970000000000001,168,333800,1,0,0,0,0,0,0,1,0,0,0,0,0
79,PORFA Remix ,Feid,0.735,0.449,-7.507000000000001,1,0.34700000000000003,0.629,0.0,0.113,0.0397,123,220488,1,0,0,0,0,0,0,0,0,0,0,1,0
80,Chicago Freestyle ,Drake,0.868,0.55,-6.417000000000001,1,0.226,0.183,0.0,0.109,0.46399999999999997,118,154767,1,0,0,0,0,0,0,1,0,0,0,0,0
